detectorType,descriptorType,total_kp,total_match,total_time
SHITOMASI,BRISK,1179,690,0.194257
SHITOMASI,BRIEF,1179,848,0.131723
SHITOMASI,ORB,1179,768,0.125969
SHITOMASI,FREAK,1179,574,0.383104
SHITOMASI,AKAZE,NA,NA,NA
SHITOMASI,SIFT,1179,927,0.237416
HARRIS,BRISK,248,121,0.168623
HARRIS,BRIEF,248,155,0.176734
HARRIS,ORB,248,145,0.163797
HARRIS,FREAK,248,123,0.475587
HARRIS,AKAZE,NA,NA,NA
HARRIS,SIFT,248,163,0.310063
FAST,BRISK,4094,1832,0.0671354
FAST,BRIEF,4094,2258,0.0424373
FAST,ORB,4094,2061,0.0351665
FAST,FREAK,4094,1566,0.352091
FAST,AKAZE,NA,NA,NA
FAST,SIFT,4094,2782,0.237756
BRISK,BRISK,2713,1274,2.61678
BRISK,BRIEF,2713,1301,2.98821
BRISK,ORB,2713,910,2.89708
BRISK,FREAK,2713,1073,2.92873
BRISK,AKAZE,NA,NA,NA
BRISK,SIFT,2713,1617,3.26079
ORB,BRISK,1150,646,0.101602
ORB,BRIEF,1150,421,0.101114
ORB,ORB,1150,525,0.144936
ORB,FREAK,1150,345,0.400496
ORB,AKAZE,NA,NA,NA
ORB,SIFT,1150,756,0.495856
AKAZE,BRISK,1655,1101,0.717027
AKAZE,BRIEF,1655,1096,0.706907
AKAZE,ORB,1655,913,0.719172
AKAZE,FREAK,1655,962,0.833809
AKAZE,AKAZE,1655,1161,1.29697
AKAZE,SIFT,1655,1263,0.801707
SIFT,BRISK,1372,533,0.825335
SIFT,BRIEF,1372,593,0.997947
SIFT,ORB,NA,NA,NA
SIFT,FREAK,1372,504,1.31677
SIFT,AKAZE,NA,NA,NA
SIFT,SIFT,1372,792,1.33121
